"GR","WDS","YEAR"
3.62635284611841,96594,1929
3.67642448664064,109090,1923
3.6759702794515,81152,1926
3.64732050163558,85379,1925
3.50116589347488,219793,1957
3.6053641122801,122939,1954
3.55904321539547,126428,1892
3.54060078817745,133997,1960
3.71242057904458,124942,1892
3.57604980506795,82847,1917
3.65198965196328,121026,1962
3.76341929791378,72242,1957
3.53935586042261,122754,1931
3.79902970478452,120242,1933
3.70860455902117,128942,1930
3.55590514062141,119715,1943
3.67138913706065,132151,1938
3.56750208666417,114313,1921
3.57858730666795,95905,1939
3.70147394574883,107544,1890
3.63116741618598,53147,1923
3.56874488160149,71225,1904
3.57107268994305,56438,1935
3.60912976313852,108623,1897
3.49964028372123,35314,1909
3.63409483866432,173614,1898
3.71748703065939,81480,1956
3.55596287089843,102566,1899
3.70787005637407,71518,1933
3.58607069999932,110940,1932
