TITLE,AUTH,GR,WDS,YEAR
Heart of Darkness,Joseph Conrad,3.39,"53,285",1899
Wide Sargasso Sea,Jean Rhys,3.53,"49,665",1966
Loving,Henry Green,3.55,"67,200",1945
The Secret Agent,Joseph Conrad,3.57,"89,230",1907
Zuleika Dobson,Max Beerbohm,3.58,"75,600",1911
A Portait of the Artist as a Young Man,James Joyce,3.58,"84,922",1916
Sons and Lovers,D.H. Lawrence,3.58,"196,200",1913
Lord Jim,Joseph Conrad,3.59,"127,949",1900
The Way of All Flesh,Samuel Butler,3.6,"96,000",1903
Lord of the Flies,William Golding,3.61,"59,900",1954
A Passage to India,E.M. Forster,3.63,"99,771",1924
The Sound and the Fury,William Faulkner,3.65,"96,931",1929
The Rainbow,D.H. Lawrence,3.65,"163,200",1915
The Ambassadors,Henry James,3.65,"158,400",1903
Women In Love,D.H. Lawrence,3.65,"120,000",1920
Finnegans Wake,James Joyce,3.65,"188,400",1939
On the Road,Jack Kerouac,3.66,"92,100",1957
The Ginger Man,J.P. Donleavy,3.68,"105,600",1955
Portnoy's Complaint,Philip Roth,3.68,"82,200",1969
Lolita,Vladimir Nabokov,3.68,"112,473",1955
The Death of the Heart,Elizabeth Bowen,3.69,"125,400",1938
Sister Carrie,Theodore Dreiser,3.69,"156,272",1900
The Moviegoer,Walker Percy,3.71,"72,600",1961
Tropic of Cancer,Henry Miller,3.71,"95,400",1934
Kim,Rudyard Kipling,3.71,"103,576",1901
As I Lay Dying,William Faulkner,3.72,"56,695",1930
Ulysses,James Joyce,3.72,"265,391",1922
Tobacco Road,Erskine Caldwell,3.73,"57,600",1932
The Good Soldier,Ford Madox Ford,3.73,"110,400",1915
The Magnificent Ambersons,Booth Tarkington,3.73,"98,954",1918
