TITLE,GR,WDS,YEAR
The Wapshot Chronicle,3.76,105600,1957
The Catcher in the Rye,3.77,73404,1951
A Farewell to Arms,3.77,82532,1929
A Bend in the River,3.77,107953,1979
The Bridge of San Luis Rey,3.78,31879,1927
A High Wind in Jamaica,3.78,83700,1929
The Call of the Wild,3.78,96118,1903
The Golden Bowl,3.78,177300,1904
Henderson the Rain King,3.79,127062,1959
Nostromo,3.79,100800,1904
The Old Wives' Tale,3.79,169500,1908
The Day of the Locust,3.8,62400,1939
A House for Mr. Biswas,3.8,198901,1961
Under the Volcano,3.8,119100,1947
The Studs Lonigan Trilogy (series),3.8,296400,1934
The Wings of the Dove,3.8,191898,1902
The Postman Always Rings Twice,3.81,34800,1934
Animal Farm,3.81,29,060,1945
Invisible Man,3.81,177070,1952
The Sun Also Rises,3.82,67707,1926
Tender is the Night,3.83,104375,1934
Winesburg, Ohio,3.83,72000,1919
Point Counter Point,3.83,129600,1928
Death Comes for the Archbishop,3.84,66721,1927
The Adventures of Augie March,3.84,247696,1953
Deliverance,3.85,83400,1970
Ironweed,3.85,67606,1983
The Great Gatsby,3.85,47094,1925
Ragtime,3.85,100800,1975
Scoop,3.87,66600,1938
Appointment in Samarra,3.89,75300,1934
A Handful of Dust,3.91,92400,1934
A Room With a View,3.91,72000,1908
An American Tragedy,3.91,353014,1925
The Sheltering Sky,3.92,102600,1949
Light in August,3.92,151118,1932
Native Son,3.92,147797,1940
The Naked and the Dead,3.92,216300,1948
The Age of Innocence,3.92,101164,1920
The House of Mirth,3.93,130089,1905
Parade's End (series),3.93,250800,1924
The Maltese Falcon,3.94,66373,1929
Brave New World,3.94,63766,1932
Howards End,3.94,76800,1910
The Heart is a Lonely Hunter,3.95,119450,1940
A Clockwork Orange,3.96,57600,1962
Go Tell It on the Mountain,3.96,80384,1953
A Dance to the Music of Time (series),3.96,876000,1951
Catch-22,3.97,174269,1961
The Heart of the Matter,3.98,81600,1948
Brideshead Revisited,3.98,105300,1945
Midnight's Children,3.99,208773,1981
Slaughterhouse-Five,4.02,49459,1969
Darkness at Noon,4.04,64800,1940
The Magus,4.04,196800,1965
All the King's Men,4.06,214872,1946
From Here to Eternity,4.07,244800,1951
The Grapes of Wrath,4.08,169481,1939
U.S.A. (trilogy),4.08,393600,1933
Of Human Bondage,4.09,259865,1915
1984,4.1,88942,1949
The Alexandria Quartet (series),4.17,265200,1959
Sophie's Choice,4.18,168600,1979
Pale FIre,4.19,74400,1962
Angle of Repose,4.27,205090,1971
I, Claudius,4.27,140400,1934
