TITLE,AUTH,GR,WDS,YEAR
The Wapshot Chronicle,John Cheever,3.76,"105,600",1957
The Catcher in the Rye,J.D. Salinger,3.77,"73,404",1951
A Farewell to Arms,Ernest Hemingway,3.77,"82,532",1929
A Bend in the River,V.S. Naipaul,3.77,"107,953",1979
The Bridge of San Luis Rey,Thornton Wilder,3.78,"31,879",1927
A High Wind in Jamaica,Richard Hughes,3.78,"83,700",1929
The Call of the Wild,Jack London,3.78,"96,118",1903
The Golden Bowl,Henry James,3.78,"177,300",1904
Henderson the Rain King,Saul Bellow,3.79,"127,062",1959
Nostromo,Joseph Conrad,3.79,"100,800",1904
The Old Wives' Tale,Arnold Bennett,3.79,"169,500",1908
The Day of the Locust,Nathanael West,3.8,"62,400",1939
A House for Mr. Biswas,V.S. Naipaul,3.8,"198,901",1961
Under the Volcano,Malcolm Lowry,3.8,"119,100",1947
The Studs Lonigan Trilogy (series),James T. Farrell,3.8,"296,400",1934
The Wings of the Dove,Henry James,3.8,"191,898",1902
The Postman Always Rings Twice,James M. Cain,3.81,"34,800",1934
Animal Farm,George Orwell,3.81,"29,060",1945
Invisible Man,Ralph Ellison,3.81,"177,070",1952
The Sun Also Rises,Ernest Hemingway,3.82,"67,707",1926
Tender is the Night,F. Scott Fitzgerald,3.83,"104,375",1934
"Winesburg, Ohio",Sherwood Anderson,3.83,"72,000",1919
Point Counter Point,Aldous Huxley,3.83,"129,600",1928
Death Comes for the Archbishop,Willa Cather,3.84,"66,721",1927
The Adventures of Augie March,Saul Bellow,3.84,"247,696",1953
Deliverance,James Dickey,3.85,"83,400",1970
Ironweed,William Kennedy,3.85,"67,606",1983
The Great Gatsby,F. Scott Fitzgerald,3.85,"47,094",1925
Ragtime,E.L. Doctorow,3.85,"100,800",1975
Scoop,Evelyn Waugh,3.87,"66,600",1938
Appointment in Samarra,John O’Hara,3.89,"75,300",1934
A Handful of Dust,Evelyn Waugh,3.91,"92,400",1934
A Room With a View,E.M. Forster,3.91,"72,000",1908
An American Tragedy,Theodore Dreiser,3.91,"353,014",1925
The Sheltering Sky,Paul Bowles,3.92,"102,600",1949
Light in August,William Faulkner,3.92,"151,118",1932
Native Son,Richard Wright,3.92,"147,797",1940
The Naked and the Dead,Norman Mailer,3.92,"216,300",1948
The Age of Innocence,Edith Wharton,3.92,"101,164",1920
The House of Mirth,Edith Wharton,3.93,"130,089",1905
Parade's End (series),Ford Madox Ford,3.93,"250,800",1924
The Maltese Falcon,Dashiell Hammett,3.94,"66,373",1929
Brave New World,Aldous Huxley,3.94,"63,766",1932
Howards End,E.M. Forster,3.94,"76,800",1910
The Heart is a Lonely Hunter,Carson McCullers,3.95,"119,450",1940
A Clockwork Orange,Anthony Burgess,3.96,"57,600",1962
Go Tell It on the Mountain,James Baldwin,3.96,"80,384",1953
A Dance to the Music of Time (series),Anthony Powell,3.96,"876,000",1951
Catch-22,Joseph Heller,3.97,"174,269",1961
The Heart of the Matter,Graham Greene,3.98,"81,600",1948
Brideshead Revisited,Evelyn Waugh,3.98,"105,300",1945
Midnight's Children,Salman Rushdie,3.99,"208,773",1981
Slaughterhouse-Five,Kurt Vonnegut,4.02,"49,459",1969
Darkness at Noon,Arthur Koestler,4.04,"64,800",1940
The Magus,John Fowles,4.04,"196,800",1965
All the King's Men,Robert Penn Warren,4.06,"214,872",1946
From Here to Eternity,James Jones,4.07,"244,800",1951
The Grapes of Wrath,John Steinbeck,4.08,"169,481",1939
U.S.A. (trilogy),John Dos Passos,4.08,"393,600",1933
Of Human Bondage,W. Somerset Maugham,4.09,"259,865",1915
1984,George Orwell,4.1,"88,942",1949
The Alexandria Quartet (series),Lawrence Durell,4.17,"265,200",1959
Sophie's Choice,William Styron,4.18,"168,600",1979
Pale FIre,Vladimir Nabokov,4.19,"74,400",1962
Angle of Repose,Wallace Stegner,4.27,"205,090",1971
"I, Claudius",Robert Graves,4.27,"140,400",1934
