"GR","WDS","YEAR"
3.84020744066908,301090,1941
4.05187389445242,125539,1957
3.79660077682852,40525,1935
3.87659482762983,140202,1924
4.09894414418572,24054,1901
4.06559646765447,144806,1934
3.83458016304874,197264,1946
3.87588783009963,198195,1956
3.83080092262016,213684,1914
3.86901935225799,267141,1939
3.75283789599054,146840,1966
3.83229891363695,175525,1945
3.99160790395578,334154,1943
3.90941248171023,228273,1933
3.9351244216694,217260,1927
3.84817045997126,287045,1923
4.13864877422695,81193,1943
4.13235971798841,150360,1924
4.04268667277216,274332,1931
4.06591050837592,11690,1934
4.07523688584834,269400,1959
3.84867769860385,264314,1956
3.65396706188505,167829,1953
3.97283716297899,233401,1953
4.09448084540844,172819,1940
3.70773560577633,37352,2008
4.14562513680641,64141,1938
3.85964488037514,209683,1942
3.79627957095552,190471,1952
3.71869003479606,184519,1914
3.89810906771329,77530,1973
4.01616452058483,134260,1951
3.99402233930957,84123,1997
3.89648732462155,24119,1961
3.81051353468068,10878,1922
3.93961203139873,424197,1917
3.98904019644043,66939,1934
3.88992486135874,124879,1918
3.97394113765889,310505,1964
3.78345006991889,149442,1913
3.86270016475924,100794,1898
3.96840439634076,33413,1929
3.79950898724408,164174,1942
3.85604520980856,256392,1930
3.78719168370921,197035,1971
4.16221575742635,28370,1889
3.8295013733887,111844,1964
4.04981801930121,160299,1933
3.70536715058376,43892,1899
3.81303827137573,23133,1951
3.82613162166165,163819,1928
3.99478913467604,189263,1933
3.86355038847149,262347,1921
4.06491949256219,17066,1935
3.80281944305453,217725,1926
4.00344018945962,149946,1927
3.97955058307278,86282,1931
3.81854849736912,54275,1960
3.966466021756,218174,1919
3.76648927932637,198011,1957
3.95533310195919,300228,1940
3.89499386392475,273571,1947
3.85933868163758,167910,1908
3.88603887233289,150996,1924
3.77159026726683,30096,1965
4.02159065974908,294812,1967
