"GR","WDS","YEAR"
3.63616848525089,113263,1895
3.76734240010199,63932,1935
3.71204465447838,208754,1935
3.571924081929,26203,1939
3.75256369313714,163808,1916
3.65548217996036,166016,1972
3.68921310068168,18098,1926
3.64273039100554,164350,1914
3.69465728082957,56401,1896
3.63665964484568,96205,1924
3.63180007664297,156362,1916
3.63311944769875,87188,1935
3.69860576003886,110103,1937
3.71536960571392,13067,1920
3.60384053377001,91291,1914
3.66868261505456,145621,1915
3.63004392502887,101308,1965
3.56117469472724,20480,1903
3.68634422597426,126902,1896
3.6413696918631,145164,1907
3.65591428139622,103840,1924
3.4877345170087,130193,1918
3.75107274045695,167143,1943
3.62311662981286,132827,1959
3.70478558592825,29227,1920
3.68377009276662,53370,1931
3.58337126878061,68964,1938
3.6501409046717,195844,1911
3.58044028317262,102035,1886
3.74712883822939,175707,1912
