GR,WDS,YEAR
3.39,53285,1899
3.53,49665,1966
3.55,67200,1945
3.57,89230,1907
3.58,75600,1911
3.58,84922,1916
3.58,196200,1913
3.59,127949,1900
3.6,96000,1903
3.61,59900,1954
3.63,99771,1924
3.65,96931,1929
3.65,163200,1915
3.65,158400,1903
3.65,120000,1920
3.65,188400,1939
3.66,92100,1957
3.68,105600,1955
3.68,82200,1969
3.68,112473,1955
3.69,125400,1938
3.69,156272,1900
3.71,72600,1961
3.71,95400,1934
3.71,103576,1901
3.72,56695,1930
3.72,265391,1922
3.73,57600,1932
3.73,110400,1915
3.73,98954,1918
