"GR","WDS","YEAR"
3.89685342577299,191472,1908
3.99383627914552,63197,1956
3.96141351692813,123272,1931
4.02621709662459,77469,1935
3.74157193034786,39033,1955
3.77148313847266,327024,1959
4.11610614337288,102030,1941
3.7968536372841,132794,1921
3.88399983069375,110893,1933
3.71343214210886,283010,1926
3.89131147412576,73250,1940
3.77914767308317,6966,1959
3.97968681362257,381267,1929
3.88226295143615,176079,1933
3.9811454514181,138330,1929
3.8290965140854,355687,1921
4.02884167792682,81455,1967
3.92258390775521,162125,1938
3.71475352378775,175514,1965
4.12428693259388,106790,1958
3.81126364011474,59358,1896
4.02125974067153,187281,1952
4.23100749963602,121101,1965
3.81091101131117,150686,1946
3.89605734368148,237562,1933
3.70005012235806,160547,1934
3.96757883326861,177436,1911
3.88397215304009,114259,1938
4.01344098017556,3454,1916
4.06529402191961,236657,1917
3.94546806506391,48819,1920
3.75049731331354,129706,1948
3.81756729213504,204869,1968
3.60536044399993,213754,1953
4.27180188777579,25920,1968
3.79830428963225,387297,1926
4.19515196818983,272397,1958
3.94422032008384,274411,1937
4.05932110886791,323583,1900
3.90037329600882,89698,1903
3.80932246028563,188417,1942
3.89204210108494,26750,1924
3.78121922045426,62692,1943
3.828587378856,206277,1945
4.12872999092229,229509,1930
3.98709412213967,88718,1903
3.73696584747563,272143,1919
3.91179884836238,357906,1925
3.90282559258957,232110,1985
4.07100344031907,33162,1934
3.92894449703109,89942,1935
3.74229168644582,284628,1956
3.86648914610144,119566,1975
4.0495361224054,236551,1970
4.05695126415083,169949,1948
3.87016465699807,147734,1969
3.88106708818889,235542,1936
3.86436800106115,264235,1929
4.24222570119102,345037,1964
3.87275822114555,82008,1943
3.89040178053025,317723,1927
3.85655059231208,227721,1950
4.25185812817875,145256,1945
3.90162646881636,56034,1945
3.79485329631014,195982,1980
3.82036943679463,155585,1906
